Board Type,Name of the Board,Regular Students - All Categories - Number of Students - Appeared - Boys,Regular Students - All Categories - Number of Students - Appeared - Girls,Regular Students - All Categories - Number of Students - Appeared - Total,Regular Students - All Categories - Number of Students - Passed - Annual - Boys,Regular Students - All Categories - Number of Students - Passed - Annual - Girls,Regular Students - All Categories - Number of Students - Passed - Annual - Total,Regular Students - All Categories - Number of Students - Passed - Supplementary - Boys,Regular Students - All Categories - Number of Students - Passed - Supplementary - Girls,Regular Students - All Categories - Number of Students - Passed - Supplementary - Total,Regular Students - All Categories - Number of Students - Passed - Annual + Supplementary - Boys,Regular Students - All Categories - Number of Students - Passed - Annual + Supplementary - Girls,Regular Students - All Categories - Number of Students - Passed - Annual + Supplementary - Total,Regular Students - All Categories - Pass %age - Boys,Regular Students - All Categories - Pass %age - Girls,Regular Students - All Categories - Pass %age - Total,Private Students - All Categories - Number of Students - Appeared - Boys,Private Students - All Categories - Number of Students - Appeared - Girls,Private Students - All Categories - Number of Students - Appeared - Total,Private Students - All Categories - Number of Students - Passed - Annual - Boys,Private Students - All Categories - Number of Students - Passed - Annual - Girls,Private Students - All Categories - Number of Students - Passed - Annual - Total,Private Students - All Categories - Number of Students - Passed - Supplementary - Boys,Private Students - All Categories - Number of Students - Passed - Supplementary - Girls,Private Students - All Categories - Number of Students - Passed - Supplementary - Total,Private Students - All Categories - Number of Students - Passed - Annual + Supplementary - Boys,Private Students - All Categories - Number of Students - Passed - Annual + Supplementary - Girls,Private Students - All Categories - Number of Students - Passed - Annual + Supplementary - Total,Private Students - All Categories - Pass %age - Boys,Private Students - All Categories - Pass %age - Girls,Private Students - All Categories - Pass %age - Total,Regular + Private Students - All Categories - Number of Students - Appeared - Boys,Regular + Private Students - All Categories - Number of Students - Appeared - Girls,Regular + Private Students - All Categories - Number of Students - Appeared - Total,Regular + Private Students - All Categories - Number of Students - Passed - Annual - Boys,Regular + Private Students - All Categories - Number of Students - Passed - Annual - Girls,Regular + Private Students - All Categories - Number of Students - Passed - Annual - Total,Regular + Private Students - All Categories - Number of Students - Passed - Supplementary - Boys,Regular + Private Students - All Categories - Number of Students - Passed - Supplementary - Girls,Regular + Private Students - All Categories - Number of Students - Passed - Supplementary - Total,Regular + Private Students - All Categories - Number of Students - Passed - Annual + Supplementary - Boys,Regular + Private Students - All Categories - Number of Students - Passed - Annual + Supplementary - Girls,Regular + Private Students - All Categories - Number of Students - Passed - Annual + Supplementary - Total,Regular + Private Students - All Categories - Pass %age - Boys,Regular + Private Students - All Categories - Pass %age - Girls,Regular + Private Students - All Categories - Pass %age - Total,Regular SC Students - Number of Students - Appeared - Boys,Regular SC Students - Number of Students - Appeared - Girls,Regular SC Students - Number of Students - Appeared - Total,Regular SC Students - Number of Students - Passed - Annual - Boys,Regular SC Students - Number of Students - Passed - Annual - Girls,Regular SC Students - Number of Students - Passed - Annual - Total,Regular SC Students - Number of Students - Passed - Supplementary - Boys,Regular SC Students - Number of Students - Passed - Supplementary - Girls,Regular SC Students - Number of Students - Passed - Supplementary - Total,Regular SC Students - Number of Students - Passed - Annual + Supplementary - Boys,Regular SC Students - Number of Students - Passed - Annual + Supplementary - Girls,Regular SC Students - Number of Students - Passed - Annual + Supplementary - Total,Regular SC Students - Pass %age - Boys,Regular SC Students - Pass %age - Girls,Regular SC Students - Pass %age - Total,Private SC Students - Number of Students - Appeared - Boys,Private SC Students - Number of Students - Appeared - Girls,Private SC Students - Number of Students - Appeared - Total,Private SC Students - Number of Students - Passed - Annual - Boys,Private SC Students - Number of Students - Passed - Annual - Girls,Private SC Students - Number of Students - Passed - Annual - Total,Private SC Students - Number of Students - Passed - Supplementary - Boys,Private SC Students - Number of Students - Passed - Supplementary - Girls,Private SC Students - Number of Students - Passed - Supplementary - Total,Private SC Students - Number of Students - Passed - Annual + Supplementary - Boys,Private SC Students - Number of Students - Passed - Annual + Supplementary - Girls,Private SC Students - Number of Students - Passed - Annual + Supplementary - Total,Private SC Students - Pass %age - Boys,Private SC Students - Pass %age - Girls,Private SC Students - Pass %age - Total,Regular + Private SC Students - Number of Students - Appeared - Boys,Regular + Private SC Students - Number of Students - Appeared - Girls,Regular + Private SC Students - Number of Students - Appeared - Total,Regular + Private SC Students - Number of Students - Passed - Annual - Boys,Regular + Private SC Students - Number of Students - Passed - Annual - Girls,Regular + Private SC Students - Number of Students - Passed - Annual - Total,Regular + Private SC Students - Number of Students - Passed - Supplementary - Boys,Regular + Private SC Students - Number of Students - Passed - Supplementary - Girls,Regular + Private SC Students - Number of Students - Passed - Supplementary - Total,Regular + Private SC Students - Number of Students - Passed - Annual + Supplementary - Boys,Regular + Private SC Students - Number of Students - Passed - Annual + Supplementary - Girls,Regular + Private SC Students - Number of Students - Passed - Annual + Supplementary - Total,Regular + Private SC Students - Pass %age - Boys,Regular + Private SC Students - Pass %age - Girls,Regular + Private SC Students - Pass %age - Total,Regular ST Students - Number of Students - Appeared - Boys,Regular ST Students - Number of Students - Appeared - Girls,Regular ST Students - Number of Students - Appeared - Total,Regular ST Students - Number of Students - Passed - Annual - Boys,Regular ST Students - Number of Students - Passed - Annual - Girls,Regular ST Students - Number of Students - Passed - Annual - Total,Regular ST Students - Number of Students - Passed - Supplementary - Boys,Regular ST Students - Number of Students - Passed - Supplementary - Girls,Regular ST Students - Number of Students - Passed - Supplementary - Total,Regular ST Students - Number of Students - Passed - Annual + Supplementary - Boys,Regular ST Students - Number of Students - Passed - Annual + Supplementary - Girls,Regular ST Students - Number of Students - Passed - Annual + Supplementary - Total,Regular ST Students - Pass %age - Boys,Regular ST Students - Pass %age - Girls,Regular ST Students - Pass %age - Total,Private ST Students - Number of Students - Appeared - Boys,Private ST Students - Number of Students - Appeared - Girls,Private ST Students - Number of Students - Appeared - Total,Private ST Students - Number of Students - Passed - Annual - Boys,Private ST Students - Number of Students - Passed - Annual - Girls,Private ST Students - Number of Students - Passed - Annual - Total,Private ST Students - Number of Students - Passed - Supplementary - Boys,Private ST Students - Number of Students - Passed - Supplementary - Girls,Private ST Students - Number of Students - Passed - Supplementary - Total,Private ST Students - Number of Students - Passed - Annual + Supplementary - Boys,Private ST Students - Number of Students - Passed - Annual + Supplementary - Girls,Private ST Students - Number of Students - Passed - Annual + Supplementary - Total,Private ST Students - Pass %age - Boys,Private ST Students - Pass %age - Girls,Private ST Students - Pass %age - Total,Regular + Private ST Students - Number of Students - Appeared - Boys,Regular + Private ST Students - Number of Students - Appeared - Girls,Regular + Private ST Students - Number of Students - Appeared - Total,Regular + Private ST Students - Number of Students - Passed - Annual - Boys,Regular + Private ST Students - Number of Students - Passed - Annual - Girls,Regular + Private ST Students - Number of Students - Passed - Annual - Total,Regular + Private ST Students - Number of Students - Passed - Supplementary - Boys,Regular + Private ST Students - Number of Students - Passed - Supplementary - Girls,Regular + Private ST Students - Number of Students - Passed - Supplementary - Total,Regular + Private ST Students - Number of Students - Passed - Annual + Supplementary - Boys,Regular + Private ST Students - Number of Students - Passed - Annual + Supplementary - Girls,Regular + Private ST Students - Number of Students - Passed - Annual + Supplementary - Total,Regular + Private ST Students - Pass %age - Boys,Regular + Private ST Students - Pass %age - Girls,Regular + Private ST Students - Pass %age - Total,All Categories - Total Number of Students Passed,"All Categories - Out of the Total, Number of Students passed with marks - 60% and above","All Categories - Out of the Total, Number of Students passed with marks - 50% to below 60%","All Categories - Out of the Total, Number of Students passed with marks - Below 50%",All Categories - Percentage of Students passed with marks - 60% and above,All Categories - Percentage of Students passed with marks - 50% to below 60%,All Categories - Percentage of Students passed with marks - Below 50%,SC Students - Total Number of Students Passed,"SC Students - Out of the Total, Number of Students passed with marks - 60% and above","SC Students - Out of the Total, Number of Students passed with marks - 50% to below 60%","SC Students - Out of the Total, Number of Students passed with marks - Below 50%",SC Students - Percentage of Students passed with marks - 60% and above,SC Students - Percentage of Students passed with marks - 50% to below 60%,SC Students - Percentage of Students passed with marks - Below 50%,ST Students - Total Number of Students Passed,"ST Students - Out of the Total, Number of Students passed with marks - 60% and above","ST Students - Out of the Total, Number of Students passed with marks - 50% to below 60%","ST Students - Out of the Total, Number of Students passed with marks - Below 50%",ST Students - Percentage of Students passed with marks - 60% and above,ST Students - Percentage of Students passed with marks - 50% to below 60%,ST Students - Percentage of Students passed with marks - Below 50%
Central Boards,"Central Board of Secondary Education, New Delhi",509343,355008,864351,456387,327442,783829,24726,14604,39330,481113,342046,823159,94.5,96.3,95.2,12768,9229,21997,4864,2950,7814,2467,1559,4026,7331,4509,11840,57.4,48.9,53.8,522111,364237,886348,461251,330392,791643,27193,16163,43356,488444,346555,834999,93.6,95.1,94.2,30104,23555,53659,26909,21335,48244,1494,1232,2726,28403,22567,50970,94.3,95.8,95.0,1035,913,1948,347,263,610,197,128,325,544,391,935,52.6,42.8,48.0,31139,24468,55607,27256,21598,48854,1691,1360,3051,28947,22958,51905,93.0,93.8,93.3,15948,12667,28615,11052,8360,19412,2554,2339,4893,13606,10699,24305,85.3,84.5,84.9,1019,919,1938,347,314,661,244,269,513,591,583,1174,58.0,63.4,60.6,16967,13586,30553,11399,8674,20073,2798,2608,5406,14197,11282,25479,83.7,83.0,83.4,834999,490885,163973,180141,58.8,19.6,21.6,51905,21715,12813,17377,41.8,24.7,33.5,25479,10041,5349,10089,39.4,21.0,39.6
Central Boards,"Council for the Indian School Certificate Examinations, New Delhi",63004,49323,112327,61813,48764,110577,NA,NA,NA,61813,48764,110577,98.1,98.9,98.4,319,177,496,216,128,344,NA,NA,NA,216,128,344,67.7,72.3,69.4,63323,49500,112823,62029,48892,110921,NA,NA,NA,62029,48892,110921,98.0,98.8,98.3,2134,1495,3629,2060,1451,3511,NA,NA,NA,2060,1451,3511,96.5,97.1,96.7,18,9,27,11,5,16,NA,NA,NA,11,5,16,61.1,55.6,59.3,2152,1504,3656,2071,1456,3527,NA,NA,NA,2071,1456,3527,96.2,96.8,96.5,1831,1616,3447,1789,1583,3372,NA,NA,NA,1789,1583,3372,97.7,98.0,97.8,23,15,38,14,10,24,NA,NA,NA,14,10,24,60.9,66.7,63.2,1854,1631,3485,1803,1593,3396,NA,NA,NA,1803,1593,3396,97.2,97.7,97.4,110921,98299,10005,2617,88.6,9.0,2.4,3527,2896,483,148,82.1,13.7,4.2,3396,2632,630,134,77.5,18.6,3.9
State Boards,"Board of Secondary Education, Andhra Pradesh",548335,514477,1062812,445659,421935,867594,NA,NA,NA,445659,421935,867594,81.3,82.0,81.6,190658,95256,285914,75474,46165,121639,65337,44245,109582,140811,90410,231221,73.9,94.9,80.9,738993,609733,1348726,521133,468100,989233,65337,44245,109582,586470,512345,1098815,79.4,84.0,81.5,102025,97222,199247,77108,74179,151287,NA,NA,NA,77108,74179,151287,75.6,76.3,75.9,44099,24362,68461,15252,9988,25240,15628,11377,27005,30880,21365,52245,70.0,87.7,76.3,146124,121584,267708,92360,84167,176527,15628,11377,27005,107988,95544,203532,73.9,78.6,76.0,37937,32610,70547,30553,25708,56261,NA,NA,NA,30553,25708,56261,80.5,78.8,79.7,13263,6911,20174,4602,2549,7151,5063,3496,8559,9665,6045,15710,72.9,87.5,77.9,51200,39521,90721,35155,28257,63412,5063,3496,8559,40218,31753,71971,78.6,80.3,79.3,1098815,577162,231646,NA,52.5,21.1,NA,203532,NA,NA,NA,NA,NA,NA,71971,NA,NA,NA,NA,NA,NA
State Boards,Board of Secondary Education Assam,138704,138934,277638,92858,83347,176205,NA,NA,NA,92858,83347,176205,66.9,60.0,63.5,47371,52119,99490,21829,26221,48050,NA,NA,NA,21829,26221,48050,46.1,50.3,48.3,186075,191053,377128,114687,109568,224255,NA,NA,NA,114687,109568,224255,61.6,57.3,59.5,10402,10283,20685,6527,5513,12040,NA,NA,NA,6527,5513,12040,62.7,53.6,58.2,2485,2318,4803,1329,1100,2429,NA,NA,NA,1329,1100,2429,53.5,47.5,50.6,12887,12601,25488,7856,6613,14469,NA,NA,NA,7856,6613,14469,61.0,52.5,56.8,19545,19081,38626,11294,9648,20942,NA,NA,NA,11294,9648,20942,57.8,50.6,54.2,6809,6263,13072,3796,2937,6733,NA,NA,NA,3796,2937,6733,55.7,46.9,51.5,26354,25344,51698,15090,12585,27675,NA,NA,NA,15090,12585,27675,57.3,49.7,53.5,224255,19034,31720,173501,8.5,14.1,77.4,14469,NA,NA,NA,NA,NA,NA,27675,NA,NA,NA,NA,NA,NA
State Boards,Assam Sanskrit Board,2100,2330,4430,1120,924,2044,NA,NA,NA,1120,924,2044,53.3,39.7,46.1,1500,1028,2528,1080,600,1680,NA,NA,NA,1080,600,1680,72.0,58.4,66.5,3600,3358,6958,2200,1524,3724,NA,NA,NA,2200,1524,3724,61.1,45.4,53.5,900,1000,1900,600,725,1325,NA,NA,NA,600,725,1325,66.7,72.5,69.7,400,700,1100,220,500,720,NA,NA,NA,220,500,720,55.0,71.4,65.5,1300,1700,3000,820,1225,2045,NA,NA,NA,820,1225,2045,63.1,72.1,68.2,520,580,1100,245,360,605,NA,NA,NA,245,360,605,47.1,62.1,55.0,198,215,413,110,125,235,NA,NA,NA,110,125,235,55.6,58.1,56.9,718,795,1513,355,485,840,NA,NA,NA,355,485,840,49.4,61.0,55.5,3724,NA,3724,NA,NA,100.0,NA,2045,2045,NA,NA,100.0,NA,NA,840,NA,840,NA,NA,100.0,NA
State Boards,"Banasthali Vidyapith, Rajasthan #",20,155,175,19,144,163,1,9,10,20,153,173,100.0,98.7,98.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,155,175,19,144,163,1,9,10,20,153,173,100.0,98.7,98.9,NA,6,6,NA,4,4,NA,2,2,NA,6,6,NA,100.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,4,4,NA,2,2,NA,6,6,NA,100.0,100.0,1,14,15,1,10,11,NA,3,3,1,13,14,100.0,92.9,93.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,15,1,10,11,NA,3,3,1,13,14,100.0,92.9,93.3,173,106,37,30,61.3,21.4,17.3,6,3,NA,3,50.0,NA,50.0,14,3,4,7,21.4,28.6,50.0
State Boards,Bihar School Education Board,489508,348240,837748,350411,233329,583740,NA,NA,NA,350411,233329,583740,71.6,67.0,69.7,81609,54983,136592,62427,39952,102379,NA,NA,NA,62427,39952,102379,76.5,72.7,75.0,571117,403223,974340,412838,273281,686119,NA,NA,NA,412838,273281,686119,72.3,67.8,70.4,63517,34868,98385,39199,18518,57717,NA,NA,NA,39199,18518,57717,61.7,53.1,58.7,8824,5605,14429,6185,3615,9800,NA,NA,NA,6185,3615,9800,70.1,64.5,67.9,72341,40473,112814,45384,22133,67517,NA,NA,NA,45384,22133,67517,62.7,54.7,59.8,6211,3308,9519,3807,1933,5740,NA,NA,NA,3807,1933,5740,61.3,58.4,60.3,997,751,1748,697,547,1244,NA,NA,NA,697,547,1244,69.9,72.8,71.2,7208,4059,11267,4504,2480,6984,NA,NA,NA,4504,2480,6984,62.5,61.1,62.0,686119,215695,229036,241388,31.4,33.4,35.2,67517,14743,21879,30895,21.8,32.4,45.8,6984,1559,2357,3068,22.3,33.7,43.9
State Boards,Bihar State Madrasa Education Board,31618,49629,81247,28391,45772,74163,NA,NA,NA,28391,45772,74163,89.8,92.2,91.3,699,927,1626,628,855,1483,NA,NA,NA,628,855,1483,89.8,92.2,91.2,32317,50556,82873,29019,46627,75646,NA,NA,NA,29019,46627,75646,89.8,92.2,91.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75646,27781,45081,2784,36.7,59.6,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State Boards,Chhattisgarh Board of Secondary Education,168597,155919,324516,92873,86446,179319,2975,2274,5249,95848,88720,184568,56.9,56.9,56.9,2837,2015,4852,1117,837,1954,61,28,89,1178,865,2043,41.5,42.9,42.1,171434,157934,329368,93990,87283,181273,3036,2302,5338,97026,89585,186611,56.6,56.7,56.7,26558,23558,50116,13121,11418,24539,414,296,710,13535,11714,25249,51.0,49.7,50.4,1222,952,2174,414,347,761,19,12,31,433,359,792,35.4,37.7,36.4,27780,24510,52290,13535,11765,25300,433,308,741,13968,12073,26041,50.3,49.3,49.8,44937,41950,86887,21763,19631,41394,798,548,1346,22561,20179,42740,50.2,48.1,49.2,450,311,761,165,130,295,13,4,17,178,134,312,39.6,43.1,41.0,45387,42261,87648,21928,19761,41689,811,552,1363,22739,20313,43052,50.1,48.1,49.1,186611,38928,41565,106118,20.9,22.3,56.9,26041,4362,5750,15929,16.8,22.1,61.2,43052,5501,8839,28712,12.8,20.5,66.7
State Boards,Chhatisgarh Madrasa Board,160,114,NA,127,104,NA,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,114,274,127,104,231,3,2,5,130,106,236,81.3,93.0,86.1,NA,10.00,NA,NA,10.00,NA,NA,NA,NA,NA,10,10,NA,100.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA,10,10,NA,NA,NA,NA,10,10,NA,100.0,100.0,NA,5.00,NA,NA,5.00,NA,NA,NA,NA,NA,5,5,NA,100.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,5,5,NA,NA,NA,NA,5,5,NA,100.0,100.0,236,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
State Boards,Chhatisgarh Sanskriti Vidya Mandalam,184,81,265,181,81,262,2,NA,2,183,81,264,99.5,100.0,99.6,17,6,23,17,6,23,NA,NA,NA,17,6,23,100.0,100.0,100.0,201,87,288,198,87,285,2,NA,2,200,87,287,99.5,100.0,99.7,3.00,1.00,NA,3.00,1.00,NA,NA,NA,NA,3,1,4,100.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,3,1,4,NA,NA,NA,3,1,4,100.0,100.0,100.0,78,64,142,78,64,142,NA,NA,NA,78,64,142,100.0,100.0,100.0,5,2,7,5,2,7,NA,NA,NA,5,2,7,100.0,100.0,100.0,83,66,149,83,66,149,NA,NA,NA,83,66,149,100.0,100.0,100.0,287,130,123,34,45.3,42.9,11.8,4,1,3,NA,NA,NA,NA,149,76,60,13,51.0,40.3,8.7
